abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
,"Reworked rendition of a beer that debuted at EBF 2014.  Updated recipe and 1.6% less abv.  If you had this beer at EBF 2014, please rate it under Juice Machine (2014).  Otherwise, your rating should go here.",,Tree House Juice Machine (2015- ),4,Imperial IPA,Tree House Brewing Company,,246,4.25/5.0,100,34,MASSACHUSETTS,100,4.12
,"Brewed in celebration of the first anniversary of Row 34, our favorite Fort Point oyster bar and craft-beer purveyor, Vicinity highlights a neighborhood collaboration of passion and vision. Appearance is bright and straw-colored. Spicy, earthy aromas of tropical fruit notes abound. Complex flavors of grape juice, light citrus, and lychee emerge on the palate. The pilsner malt provides a cracker crisp malt character and clean, mineral finish.",,Trillium Vicinity,3,Imperial IPA,Trillium Brewing Company,,240,/,100,185,MASSACHUSETTS,100,
,"Our Double Dry Hopped version of Melcher Street; this amped up American IPA features a heavy dose of Mosaic hops. The spicy, resinous, herbal aroma bursts with nuances of tart citrus, tangerine, clementine, and subtle green onion. Bold flavors of under-ripe melon, cantaloupe rind, and pineapple are highlighted with gentle bitterness and delicate, biscuity malt character.",,Trillium Melcher Street IPA - Double Dry Hopped,2,India Pale Ale (IPA),Trillium Brewing Company,,216,/,100,136,MASSACHUSETTS,100,
,"Bursting with 3.5lbs / BBL of pungent American hops, Julius is loaded with notes of passionfruit, mango, and citrus. A soft, pillowy mouthfeel and rounded bitterness makes Julius very, very easy to drink. You’ve been warned.",,Tree House Julius,1,India Pale Ale (IPA),Tree House Brewing Company,,204,/,100,293,MASSACHUSETTS,100,
,"This year, we aged a limited quantity of our award winning (Brewer’s Association of Maryland Governor’s Cup gold medal winner in 2006, 2007 and 2008) Barleywine, Devil’s Milk, in Kentucky White Oak Bourbon barrels to create a uniquely tempting new brew. Hell On Wood is medium/full-bodied and amber in color with a thin, persistent, off-white head. Its mesmerizing citrus flavors and aromas, accented by notes of charred oak, vanilla, and caramelized sugar, give way to a palate dominating hop finish balanced by smoky, bourbon character and a warming alcohol presence (10.6% alcohol by volume). There’s no escape; prepare to fall to the seductive power of Hell On Wood!",,DuClaw Hell on Wood,24,Barley Wine,DuClaw Brewing Company,66,,/,97,129,MARYLAND,91,
,Wild Sour Mango IPA,,Stillwater Whole-icious,23,Sour/Wild Ale,Stillwater Artisanal,,195,3.94/5.0,97,16,MARYLAND,88,3.75
,Dry-Hopped Berliner Weisse with Sauvignon Blanc Grapes.,,Stillwater / Hudson Valley Hopvine Bling,22,Berliner Weisse,Stillwater Artisanal,,150,/,97,41,MARYLAND,97,
10.8%,"What happens when a 60/40 blend of RETRIBUTION Imperial Stout and MISERY Wheat Wine-Style Ale ages for 6 months inside a charred Kentucky white oak bourbon barrel? The third coming of divinity. This full bodied blended stout balances a citrus aroma and tropical, fruity esters with righteous notes of dark fruit, vanilla, charred oak, and espresso for a union of suffering and justice that will leave you thankful that... Misery Finally Has Company.",,DuClaw Divine Retribution No. 3 ,21,Imperial Stout,DuClaw Brewing Company,324,,3.86/5.0,97,26,MARYLAND,70,3.74
11.5%,"Double Dog Double Pale Ale Back by popular demand, our original ""Wild Dog Release"" is back, and this time it’s for good. Double Dog Double Pale Ale is a generously hopped ale with a deep red color and pours with a nice frothy head. The abundance of hops will conjure some provocative aromas with hints of raisins and citrus.",,Flying Dog Double Dog Double Pale Ale,20,American Strong Ale,Flying Dog Brewery,345,85,/,97,1736,MARYLAND,94,
,Brewed with malt from Copper Fox Distillery.,,Flying Dog Brewhouse Rarities: Smoked Belgian Stout,19,Imperial Stout,Flying Dog Brewery,,255,/,98,52,MARYLAND,74,
13%,Stout with Bergundy grape juice added.,,Stillwater Even Less Jesus (Remix),18,Foreign Stout,Stillwater Artisanal,390,,/,98,88,MARYLAND,97,
,Patience. Justified.,,DuClaw Retribution,17,Imperial Stout,DuClaw Brewing Company,85,,/,98,161,MARYLAND,76,
,"<oak smoked imperial wheat stout> Like a sound system that fills the room with audibles swarming in every direction. This massive stout overtakes your senses with flavor & aromas of dark chocolate, molasses, roast, smoke, earth & wood, It’s heavy I know, but you have to drop that bass every once in a while if you really wanna get down.",,Stillwater Contemporary Works Surround,16,Smoked,Stillwater Artisanal,,300,/,98,280,MARYLAND,99,
,"Deep black color
with mousse-like head.  Chocolate, black, and roasted malts.  Vanilla
and chocolate aroma and flavor.  Flaked barley and oats for a creamy
texture.  Dry finish and slightly roasted coffee after taste.  Made with Black Dog Coffee. 8.9% abv.",,Flying Dog Kujo Imperial Coffee Stout,15,Imperial Stout,Flying Dog Brewery,40,,/,98,615,MARYLAND,77,
9.4%,Editor’s note: please note that this is different from Mikkeller/Stillwater Rauchstar. Different label and different ABV.,,Stillwater / Mikkeller Rauchstar,14,Smoked,Stillwater Artisanal,282,,/,98,80,MARYLAND,99,
14%,"Be ashamed ... be VERY ashamed.
Fall on your knees and welcome our newest ale - REPENT! Be there on Thursday, September 1st* for the introduction of our special new ""Belgian Pent."" This strong ale starts off sweet, with fruity nuances and hints of caramel and toffee, and finishes smooth with a definite alcohol presence. But look out - its 14% alcohol content is bound to make you beg for forgiveness!",,DuClaw Repent,13,Belgian Strong Ale,DuClaw Brewing Company,420,,/,98,77,MARYLAND,98,
,Hop Bursted Session IPA,,Stillwater Give-Way,12,Session IPA,Stillwater Artisanal,,126,3.93/5.0,98,26,MARYLAND,100,3.8
,,,Stillwater Debauched - Brunello Barrel,11,Traditional Ale,Stillwater Artisanal,,201,/,98,74,MARYLAND,99,
6.5%,Wild Farmhouse IPA aged on Spanish Cedar.,,Stillwater G13,10,Sour/Wild Ale,Stillwater Artisanal,195,,/,98,92,MARYLAND,94,
13%,,,Stillwater / Casita Cerveceria On Fleek,9,Imperial Stout,Stillwater Artisanal,390,,/,98,303,MARYLAND,83,
,"This year’s Siren Noire Imperial Chocolate Stout has been revamped. We’ve aged it for three weeks in bourbon barrels, which gives the beer darker notes of raisin and fig. We’ve also tripled the amount of chocolate nibs and added vanilla bean. A mix of dark malts gives Siren Noire a well-rounded body that is decidedly chocolatey—but without being extraordinarily sweet. Mt. Hood hops contribute a fruity hop profile, with notes of black currant.",,Heavy Seas Uncharted Waters: Siren Noire (2013 -),8,Imperial Stout,Heavy Seas Brewing Company,18,,/,99,203,MARYLAND,84,
7.2%,Aged for 9 months in freshly emptied Chardonnay barrels and re-fermented with multiple strains of Brettanomyces.,,Stillwater Barrel Aged Series - Stateside Saison,7,Saison,Stillwater Artisanal,216,,/,99,99,MARYLAND,98,
8.4%,Folklore aged in freshly emptied 20yr Pappy Van Winkle barrels that were kindly provided by our good friends at Lush Wines in Chicago.,,"Stillwater Barrel Aged Series - Folklore, the tale of Van Winkle",6,Foreign Stout,Stillwater Artisanal,252,,/,99,42,MARYLAND,99,
8%,NOTE: There is only one Oak Aged Black Jack Stout for DuClaw; please enter your rating here.,,DuClaw Oak Aged Black Jack Stout,5,Imperial Stout,DuClaw Brewing Company,240,,/,99,122,MARYLAND,87,
,"We partnered with local coffee producer Chesapeake Bay Roasting Co. to produce this intriguing ale. Rich porter flavors are enhanced by roast coffee notes and rounded out by bourbon barrel aging, creating a brew of bewitching character.",,Heavy Seas Uncharted Waters: Blackbeard's Breakfast,4,Imperial Porter,Heavy Seas Brewing Company,40,,/,99,88,MARYLAND,95,
9.5%,"Hunter S. Thompson once said, ""When the going gets weird, the weird turn pro."" Consider this our professional version of Gonzo Imperial Porter. Aged and seasoned for three months in wood barrels from our neighbors at Stranahan’s Colorado Whiskey, this ale has a well-balanced taste and abundance of character. The taste will remind you of sweet chocolate, dry oak, and smooth whiskey with a memorable, velvety mouthfeel.",,Flying Dog Gonzo Imperial Porter - Barrel Aged,3,Imperial Porter,Flying Dog Brewery,285,85,/,99,807,MARYLAND,95,
,"Like Hunter S. Thompson...Gonzo Imperial Porter is deep and complex. This turbo charged version of the Road Dog Porter is mysteriously dark with a rich malty body, intense roasted flavors, and a surprisingly unique hop kick. With Gonzo weighing in at 9.2% ABV, it will bite you in the ass if you don’t show it the proper respect.      
IBU’s: 85",,Flying Dog Gonzo Imperial Porter ,2,Imperial Porter,Flying Dog Brewery,85,,/,99,2557,MARYLAND,95,
4.3%,"""It’s no secret that we like to party, and sometimes it gets wild. So we took Westbrook’s refreshing Gose and cranked up the volume a bit, adding a massive dose of Citra & Amarillo hops, then fermented it various strains of Brettanomyces...Go Westbrook, it’s your birthday, get funky!!"" -Brian (Stillwater Artisanal)",,Stillwater Gose Gone Wild,1,Grodziskie/Gose/Lichtenhainer,Stillwater Artisanal,129,,/,99,277,MARYLAND,100,
,"Brewed with our friend Lorenzo ""Kuaska"" Dabove in the spring of 2014. Saison de Kuaska is a delicate blonde farmhouse ale aged for 16 months in American and French oak. 5%",,Oxbow Saison de Kuaska,24,Saison,Oxbow Brewing Company,,150,4.02/5.0,99,21,MAINE,99,3.85
,"Our take on an American robust porter.  Dark, thick, chewy, chocolaty, and of course, generously hopped.

Vitals:
Color – Dark Chocolate
ABV – 7.5%
O.G. – 1.078
Malt – American 2-Row, Caramel 40L, Caramel 80L, Munich 10L, Chocolate, Roasted Wheat, Flaked Oats
Hops – Centennial, Columbus",,Maine Beer King Titus,23,Porter,Maine Beer Company,,225,/,99,458,MAINE,100,
,American Hopped Ale,,Bissell Brothers The Substance Ale,22,India Pale Ale (IPA),Bissell Brothers Brewing Company,,198,/,99,188,MAINE,99,
6.3%,"Nancy is a sour red ale fermented with Maine cherries and Brettanomyces in 100% stainless, for just shy of a year. The cherries were a blend of Balaton and Montmorency and added at a rate of 2 lbs per gallon. Copper in color, Nancy has an aroma of cherries, bread crust and a touch of cinnamon. The flavor is a medley of tart cherry, citrus and pie spice. The finish is dry with a lingering tartness.",,Allagash Nancy,21,Sour/Wild Ale,Allagash Brewing Company,189,,/,99,150,MAINE,96,
4.7%,"American hop breeders have led the way in creating unique and interesting aroma varieties. Hop breeders across the globe have followed suit. Beer II in our Hop Program, a session IPA, features some of our favorite aromas varieties from here and abroad- Amarillo, Citra, Simcoe, Hallertau Blanc and Nelson Sauvin.",,Maine Beer II,20,Session IPA,Maine Beer Company,141,,/,99,90,MAINE,100,
,"This golden hued ale is marked by passion fruit and herbal notes in the aroma, with subtle suggestions of banana and honey surfacing from its deep and complex palate. The Tripel's finish is remarkably long and soothing.",,Allagash Tripel Reserve,19,Abbey Tripel,Allagash Brewing Company,,270,/,99,1388,MAINE,100,
11%,"At the brewery, we celebrate St. Klippenstein day to commemorate our love of free ham, pot lucks, and big stouts. In honor, we brewed this Belgian-style stout aged in bourbon barrels. Rich cocoa brown in color, the first sip of this beer opens with complex chocolate and roasted aromas. Notes of vanilla, coconut and oak infuse the palate and lead to a smooth, warm finish.",,Allagash St. Klippenstein,18,Imperial Stout,Allagash Brewing Company,330,,/,99,106,MAINE,88,
,"2 year old spontaneous beer, aged on local Montmorency Cherries for 4 months, blended with a small portion of ""young"" spontaneous beer at bottling. Alc. 8.3% Vol",,Allagash Coolship Cerise,17,Lambic Style - Fruit,Allagash Brewing Company,,249,/,99,119,MAINE,87,
,"FARM TO FACE was brewed as a pale ale and fermeneted in stainless with our house yeast. After primary fermentation, pediococcus and lactobacillus were added along with 3lbs of peaches per gallon (from Applecrest Farms in New Hampshire). Ten months later, the finished beer is bright amber in color with peach, graham cracker and green apple in the aromas. Drinking this medium bodied beer is like biting into a juicy peach with tartness throughout. The finish has a long lasting peachyness.",,Allagash Farm to Face,16,Sour/Wild Ale,Allagash Brewing Company,,171,/,99,131,MAINE,96,
7.2%,"American Black Ale:
Hoppy and roasty American IPA, Weez presents a blend of hoppy and roasty notes on the nose, followed by hoppy resins on the tongue, and finishes with a deep roast.  7.2% ABV.

Malt:
Maris Otter, American 2-Row, Munich, C-80, Chocolate, Flaked Wheat, Black Barley, Midnight Wheat

Hops:
Warrior, Cascade, Citra, Simcoe

A beer in three stages:  an intense of aroma of roast, chocolate and citrus; flavor bursts with citrus; and the palate is left with lingering roast and chocolate.",,Maine Beer Weez,15,Black IPA,Maine Beer Company,216,,/,99,294,MAINE,99,
